1024 768
167904 515 552
168529 398 371
168975 564 394
169269 383 393
170073 540 496
170264 513 548
171011 252 407
171238 228 410
171855 518 517
174188 529 388
174665 589 395
175230 552 531
175623 388 529
176370 591 403
176692 584 514
177074 553 378
177549 578 553
178693 383 418
178893 362 386
179633 379 517
180388 364 393
180743 561 535
181127 413 520
181348 382 512
181764 372 390
182456 512 527
185064 391 439
185251 374 400
185707 369 540
186088 375 511
186676 543 516
187822 380 395
188463 582 526
189422 395 406
189906 235 381
190484 449 470
190740 571 527
191228 383 392
191885 387 542
192204 390 512
192714 378 395
193625 563 536
194052 542 518
194820 383 507
195521 546 506
196070 234 382
196739 543 503
197288 517 516
200210 549 496
201672 387 394
202353 389 515
202803 579 524
203615 392 391
204096 546 403
204575 587 517
205638 386 400
206022 245 380
206755 500 417
207019 526 511
210718 397 395
211067 382 511
211768 536 503
212563 250 388
213041 540 439
213298 539 509
213623 571 405
214462 553 502
215395 386 388
216222 389 509
216734 537 508
217700 341 387
217958 249 395
218505 538 500
219436 391 382
220687 543 504
221104 402 380
221521 557 503
222357 390 508
222809 257 405
223007 477 499
223293 516 512
227114 378 497
228063 378 498
229700 379 388
230153 532 502
231276 244 393
231923 501 496
232260 545 508
233230 517 525
233868 377 379
234064 244 393
234831 530 491
235182 555 388
235384 522 510
238368 373 502
239228 521 504
240377 381 500
241142 511 512
241718 236 413
242367 552 472
242749 571 407
243200 565 339
243425 395 383
243750 544 433
243975 593 424
244316 541 544
244539 547 508
244804 384 511
245959 541 512
246284 575 505
247022 401 386
247412 439 520
247672 571 521
247980 384 505
248479 243 417
249590 541 483
249783 586 521
250393 579 404
250745 543 522
251003 587 387
251237 583 416
251911 535 509
253704 511 518
255240 389 518
256121 385 393
256832 554 498
257310 579 407
257567 400 501
257949 230 402
258464 582 516
261993 523 522
264477 510 539
266676 408 522
267270 375 510
267759 534 520
268257 389 516
268801 561 515
269567 416 512
269764 375 514
270275 236 393
270689 596 529
271232 531 403
271457 368 489
271622 398 505
271941 250 406
272898 541 542
273283 606 559
273965 428 526
274238 387 518
274558 582 544
274779 553 388
275225 556 436
275514 586 521
276489 545 514
276742 511 527
277132 562 510
277513 240 399
278089 529 510
280970 509 542
282105 434 347
282329 386 388
282711 389 501
282997 529 518
283917 392 386
284344 534 505
286005 572 503
287038 407 405
287302 372 390
288110 377 512
288503 373 378
288989 568 515
289609 242 394
290194 544 508
293052 507 539
295711 499 406
296081 385 396
296504 500 550
297473 385 529
298144 514 531
299077 232 408
299356 543 492
300541 417 403
300798 555 484
301478 384 408
301669 326 382
301968 373 390
302191 397 521
302478 589 515
303244 553 408
303595 574 501
303957 560 422
304388 551 526
305036 246 403
305682 507 530
306032 540 518
306321 395 521
307186 519 521
309801 502 555
311174 389 514
311626 506 550
311983 381 513
312939 512 527
313324 386 391
313808 369 566
314004 379 521
314495 532 523
315176 379 518
315917 385 415
316172 381 534
316460 380 397
317014 379 556
317204 376 525
317443 588 524
317927 428 509
318405 564 376
318592 537 352
318817 577 509
319153 538 513
319326 406 520
319556 371 513
320253 554 541
320750 552 390
321266 556 542
322068 378 409
322639 382 536
322928 558 521
323429 377 385
323754 376 522
324275 539 523
324833 551 382
325046 537 528
326006 525 387
326294 435 550
326484 376 512
326900 506 548
329058 504 561
330368 365 504
330566 519 535
330864 550 394
332782 549 363
333016 533 561
333246 559 392
333587 579 520
334233 526 547
334646 366 430
334877 383 382
335289 386 549
335515 521 502
336017 382 490
336417 511 529
337058 246 428
337477 548 544
337696 509 564
339298 522 396
339708 516 599
340035 560 418
340273 532 433
340594 510 591
340913 371 531
341232 499 565
389956 379 387
390179 565 357
390466 323 382
390625 333 478
390818 389 481
393208 382 379
396034 337 388
396288 378 323
396874 384 506
397512 378 356
397734 386 324
398501 583 361
398949 510 482
399144 386 519
399819 569 401
401238 590 551
401466 398 552
401913 567 458
402176 569 426
402667 392 400
403573 396 554
403844 388 508
404390 393 404
404885 577 515
405143 392 380
407194 388 522
407948 388 377
408330 584 377
408715 381 388
411503 569 358
412006 381 391
414039 379 526
414372 377 396
415208 567 351
415609 381 399
416500 561 347
416977 383 396
418017 388 523
418728 388 393
419531 568 352
419888 382 393
421947 586 366
422526 417 392
422717 389 392
423577 396 519
423801 390 374
424023 395 520
424502 389 389
425437 603 379
425886 384 391
428712 384 519
429190 384 391
429966 593 375
430425 529 539
430620 501 544
430909 388 388
431646 213 393
431876 218 427
432608 381 382
433317 214 427
434304 365 384
434752 375 514
435500 374 394
436425 580 384
436935 498 528
437383 377 510
439773 441 482
440015 378 403
440690 380 520
441296 503 530
442002 379 390
443031 374 500
443422 378 396
444064 381 536
444357 506 548
444678 401 418
444870 382 382
445666 376 507
446401 378 377
446881 218 388
447070 201 430
447518 381 376
447837 379 511
449145 412 526
449335 432 559
449948 512 526
450268 572 403
450584 601 403
451081 511 527
451560 388 402
452112 493 541
454188 373 388
454652 375 537
454906 381 499
455682 389 393
455961 552 561
456394 563 393
456661 598 386
456970 382 399
457681 379 539
457942 378 510
458292 386 392
459252 557 397
459570 593 394
459761 382 401
460313 366 540
460585 373 507
461034 382 393
461721 591 405
462110 539 516
462695 372 512
463173 371 384
464704 372 324
464989 378 395
465523 561 396
465746 512 540
466193 573 398
466482 382 380
467294 382 524
467873 374 372
469112 580 368
469590 524 556
470089 404 378
470318 383 384
474120 584 381
474440 408 393
474726 382 385
475832 380 517
476789 378 387
480279 377 520
480818 381 379
482043 577 397
482431 381 383
484947 590 395
485200 379 382
486860 397 544
487095 387 514
487689 374 371
488267 566 373
488522 223 382
488821 179 419
489208 552 384
489477 611 389
489729 510 526
490053 373 379
490611 382 533
490866 381 502
491251 385 374
491664 592 374
492111 518 552
492367 395 384
493243 189 539
493689 216 401
493917 73 413
494371 402 394
494567 379 377
495300 406 515
495529 378 502
495827 203 494
496242 175 414
496637 402 377
496831 375 380
497214 591 368
497533 400 499
497758 377 505
498171 418 527
498886 389 363
499080 315 566
499277 311 530
499883 429 446
500073 379 368
500877 608 364
501294 375 378
502813 381 514
503712 377 370
504093 579 358
504444 511 552
504891 384 385
505790 205 396
505980 163 419
506331 380 375
507575 560 343
507799 597 352
508023 501 549
508347 399 393
508576 378 376
509989 391 508
510818 421 516
511048 383 371
511945 587 345
512466 508 545
512983 386 510
513526 380 371
515126 376 502
515923 414 504
516146 508 522
516636 587 338
517049 381 368
518550 393 507
519028 381 377
520016 388 506
520654 508 542
521037 572 359
521421 379 369
522731 581 346
523057 377 377
523854 387 507
524396 521 528
524781 383 382
525289 388 503
526698 385 366
527582 403 514
528022 494 538
528311 593 345
528819 394 359
529108 377 380
529362 180 399
530065 368 367
530638 389 503
531913 434 472
532138 395 497
532392 520 559
532787 568 374
533107 383 377
533934 384 508
534737 379 381
539251 378 515
539990 375 384
543244 379 518
543793 376 381
545494 561 348
545749 376 387
547801 383 511
548509 379 382
550039 549 353
550326 385 387
551572 390 499
551953 382 388
552534 568 338
553354 374 384
555272 560 329
555653 373 386
556664 570 329
557210 463 345
557398 372 380
558963 381 517
559281 379 383
560398 369 510
560717 377 395
562413 380 395
563033 379 518
563512 375 380
565112 559 339
565436 385 379
566176 374 509
566526 168 475
567102 375 385
567908 579 341
568329 387 385
570177 378 382
572573 384 508
573052 386 383
574102 549 339
574486 378 384
576407 381 508
577214 377 378
577691 556 330
578170 495 508
578490 384 423
578680 376 490
579128 379 378
579988 193 391
580245 158 408
580466 365 377
581041 561 346
581743 376 385
582477 375 508
583688 364 379
584102 359 511
584453 95 423
584869 78 374
585123 566 336
585761 381 386
586465 376 498
587101 543 540
587587 371 507
588795 376 375
589275 538 335
589849 499 536
590551 533 347
590998 382 446
591255 373 504
591604 378 380
593045 761 369
593333 554 386
593652 377 389
594131 576 570
594385 836 712
594769 581 696
595088 441 432
595277 385 385
595597 377 509
595979 112 407
596204 73 373
596688 191 356
596878 160 407
597198 378 345
597650 373 383
597969 531 334
598497 385 378
599010 386 511
599616 381 375
600158 379 508
600702 381 382
601115 554 344
601434 512 511
601881 380 510
602457 382 376
604051 529 339
604464 388 380
605007 386 503
605389 380 369
606186 387 441
606411 383 367
607049 96 390
607271 70 374
607527 179 378
607717 159 398
608069 346 373
608323 378 371
608547 376 499
608963 537 375
609217 541 335
609504 509 517
610237 534 341
610748 386 373
611386 379 492
611834 383 369
612470 580 338
612821 543 551
613045 510 555
613269 384 509
613748 383 366
614385 545 338
614894 373 379
615564 373 489
615980 195 389
616202 69 412
616521 543 381
616872 542 341
617096 518 503
617638 385 481
618084 381 373
618882 379 498
619430 380 382
624624 375 506
624943 365 389
625422 553 327
625906 387 376
626544 563 328
628611 384 382
628927 373 513
629499 510 521
629897 565 332
630567 388 379
631761 573 335
632191 520 521
632706 386 516
633152 387 370
633790 562 333
634173 507 537
635296 574 333
636232 504 533
636838 376 503
637156 378 368
638273 565 330
638887 388 372
640096 373 530
640322 382 489
640703 388 369
641118 574 330
641754 412 376
642011 380 375
645848 374 374
646581 384 508
647061 383 376
647410 179 394
648048 369 374
648399 572 330
648590 548 331
648889 379 380
649569 365 515
650022 376 380
650916 387 512
651396 384 380
651713 557 345
652093 499 532
652351 382 393
652989 87 381
653467 367 373
654008 372 509
654200 92 473
654426 34 530
654677 143 527
654933 43 518
655572 351 526
655763 378 513
656114 374 373
656591 534 335
657296 506 505
657486 396 412
657709 387 382
657964 210 388
658284 384 516
658761 213 414
658985 173 422
659369 516 380
659626 539 346
659847 515 521
660329 386 508
660816 374 371
661553 532 344
661778 383 379
662127 381 509
662638 504 535
663054 548 336
663532 376 369
664073 380 496
664520 515 525
665606 555 329
666721 514 519
667136 392 406
667359 381 365
667838 199 400
668220 366 372
668988 375 492
670688 372 370
671006 566 329
671643 513 505
672283 375 491
672761 379 365
673559 555 340
674068 519 504
674291 502 537
675633 375 506
676590 373 381
677292 562 324
677896 378 377
679335 546 333
679655 376 369
680039 505 542
680423 376 378
681952 378 501
682878 376 373
684760 557 346
685207 384 369
686355 378 496
687025 370 379
687821 545 334
688238 380 389
688811 377 502
689195 377 381
690054 567 335
690476 377 384
690955 377 504
691815 374 372
692708 382 503
693408 377 384
693920 567 340
694205 514 528
694717 386 501
695616 261 395
695807 373 373
696383 576 337
696796 494 539
697371 390 380
697721 172 376
698072 366 374
698774 578 330
699157 378 376
700470 377 476
700948 382 370
701652 372 503
702225 375 383
702671 568 336
703380 379 374
705453 562 332
705931 377 364
706472 205 387
706664 166 404
706984 376 359
707749 373 487
708165 556 334
708865 522 539
709216 380 374
712471 383 520
712980 385 377
713362 556 335
713905 374 380
714479 379 527
714704 379 499
714894 210 393
715181 165 404
715532 403 352
715978 80 393
716552 37 527
716936 330 366
717126 374 372
717509 563 333
718147 517 504
718402 498 528
718848 390 507
719329 384 377
719966 557 329
720508 378 374
721178 516 521
721562 382 502
722390 380 377
723635 498 527
724047 380 494
724654 372 378
725324 562 339
725770 501 538
730432 492 451
730767 575 356
731057 509 542
731795 561 363
732292 883 676
732562 887 707
732849 913 691
733267 577 425
733785 505 545
734010 382 485
734202 384 398
734586 561 365
734917 499 555
735564 573 353
736209 504 564
736700 373 514
737431 189 406
737845 570 346
738197 499 563
738643 395 536
738932 374 513
739251 371 378
739569 497 556
741736 538 371
741994 372 389
742599 484 549
743110 183 418
743753 576 337
744104 508 555
744637 372 389
745439 383 543
745695 372 509
746046 374 376
746652 505 557
747194 565 365
747449 578 329
748125 514 554
748482 554 359
748749 566 337
749037 508 550
749360 401 432
749551 384 370
749840 368 534
750029 366 501
750253 224 383
750477 179 401
752244 361 381
752584 379 534
752845 564 366
753234 509 541
753628 276 454
753979 169 408
754267 360 530
754592 372 501
754846 61 421
755106 70 381
755585 27 528
755974 381 365
756234 32 524
756749 375 376
757426 524 359
757885 518 548
758312 389 520
758950 412 551
759269 437 602
759997 383 369
760590 578 329
761069 512 551
761813 568 333
764203 521 375
764459 566 337
765005 401 361
765261 379 382
765483 385 510
765905 522 529
766287 561 343
766897 559 415
767281 562 329
767855 223 382
768078 176 410
768463 501 509
768628 529 551
768818 503 557
769009 381 524
769328 556 333
770482 376 496
771144 382 380
772042 568 330
772501 525 533
772986 559 338
773629 379 493
774043 214 402
774298 177 404
774746 343 472
774936 385 494
775432 379 387
775949 555 339
776586 510 529
778186 559 344
778767 513 523
779571 572 347
780215 374 545
780410 384 503
780698 219 405
780921 177 413
781271 387 369
782169 566 335
782553 516 517
784059 401 514
784441 520 505
784697 570 358
785022 575 329
785341 493 522
785820 372 502
786555 500 513
787034 577 339
787736 167 411
788564 514 488
788788 508 519
789012 378 492
789585 516 512
790319 564 356
790767 231 390
790989 174 401
791307 392 379
791659 369 373
792233 575 340
792584 514 548
792941 377 515
793852 525 497
794178 540 390
794559 586 322
794942 563 517
795518 521 551
796793 563 353
797283 583 332
801543 582 344
802049 524 553
802271 387 524
802688 554 405
802943 571 330
804204 386 381
804460 217 372
804853 380 371
805605 383 514
806183 514 543
806630 561 367
806886 573 330
807427 507 545
808163 571 333
809981 497 556
810363 569 339
810860 201 386
811114 176 418
811310 383 393
811916 100 394
812113 70 403
812464 374 516
813366 498 550
813753 380 518
814923 164 404
815154 81 382
816650 74 329
818271 383 522
818913 557 338
819429 510 547
820139 532 386
820334 554 331
820717 381 373
821164 380 504
821928 214 417
822218 173 411
823031 532 438
826002 557 342
826768 535 570
826994 502 572
827193 557 350
827648 364 542
827838 370 514
828169 216 393
828398 370 526
829142 356 376
829373 561 343
830010 515 559
830566 553 358
830800 556 330
831086 194 379
831375 164 413
832209 376 373
832816 378 511
834552 540 557
834930 729 546
835126 718 514
835636 730 587
835923 804 590
836212 768 597
836690 722 587
837231 724 531
837647 723 404
838033 723 329
838391 720 425
838775 729 336
839573 802 335
839795 772 420
840057 816 440
840536 729 443
841050 775 535
841407 743 682
841892 811 685
842178 843 692
842466 939 655
842848 894 614
843103 416 407
843619 380 379
844551 420 373
844939 382 361
845195 566 336
845520 518 528
845748 231 390
846011 169 404
846329 366 369
846743 392 384
846967 380 501
847948 104 413
848163 75 381
849597 79 330
850081 41 446
850305 75 385
852378 69 412
852602 362 621
852804 504 699
853028 552 670
854271 90 668
854462 12 640
855324 187 669
855645 365 517
855898 194 549
856504 197 519
857493 90 360
857658 70 319
857945 29 528
858429 43 527
859649 64 591
860456 192 539
861666 197 572
861953 221 539
862369 634 523
862558 789 542
862847 802 565
863357 496 379
863707 396 426
866436 386 505
867086 546 533
867289 563 368
867575 436 527
867772 382 501
868410 405 340
869837 467 429
870129 328 454
870418 423 531
870646 375 530
870942 548 391
871173 332 584
874280 330 540
874505 545 520
874917 560 367
875200 358 498
875388 450 560
875754 532 622
876024 324 463
876266 220 400
876626 560 398
876910 503 562
877232 563 371
877510 288 496
877724 463 556
878081 524 561
878401 559 365
878742 363 396
878950 541 406
879469 564 337
880009 511 548
880442 374 482
880689 374 512
881112 226 393
881332 166 417
882366 200 451
882727 248 431
882904 385 383
883284 268 480
883531 375 538
883784 203 560
884553 42 532
884730 79 388
885007 244 376
885302 63 399
885626 75 336
886015 424 377
886375 566 364
886621 856 413
886862 957 426
887034 943 406
887569 968 406
887823 953 509
888114 931 555
888664 946 488
889570 404 434
889748 391 549
890037 396 389
890352 449 587
890573 451 620
890987 543 613
891192 440 609
891512 558 536
891865 589 527
892116 716 528
892389 718 593
892566 432 388
892856 368 376
893275 382 532
893624 505 563
893912 606 436
894160 747 451
894501 803 537
894791 467 487
894968 388 385
895315 576 353
895620 529 517
895808 512 541
896023 248 423
896370 375 503
897663 384 363
898091 382 503
898559 392 409
898736 385 376
899301 378 496
900694 538 528
900937 508 538
901102 564 354
901329 560 324
902082 520 533
902743 561 332
903881 233 367
904083 186 391
904371 385 380
904703 385 354
905033 353 497
905458 78 508
905689 43 519
906097 33 603
910057 204 409
910521 173 413
911572 159 418
912001 385 375
912612 384 508
913696 542 361
913930 552 332
914228 534 413
914687 560 340
915192 524 519
915395 551 344
915765 514 557
916198 559 343
916729 271 358
916921 196 403
917183 385 362
917673 65 372
919722 440 408
920052 380 577
920448 452 632
920643 529 687
920994 517 419
921197 562 335
921490 375 504
922171 231 385
922401 174 407
922910 393 355
923358 71 379
924793 586 412
925112 928 424
926272 420 467
926439 565 351
927171 618 368
928194 369 382
928512 379 532
928843 232 388
929102 186 402
929582 390 365
929812 76 331
930456 137 456
930780 215 493
931099 76 336
931583 404 371
931849 387 520
932492 525 540
932723 559 343
933278 391 505
933536 391 537
934144 206 458
934365 210 381
934649 309 514
934832 388 530
935172 249 430
935461 195 402
935651 170 415
936017 69 411
936306 436 553
936882 548 400
937102 562 341
938452 526 552
938772 391 544
939054 509 548
939633 379 512
940387 527 526
940837 562 342
941527 519 552
941874 549 355
942116 411 554
942813 509 547
943528 354 388
943795 396 369
944083 221 358
944407 173 403
944726 75 381
945477 40 526
945744 72 385
947408 65 415
950900 60 380
952001 81 384
953322 169 401
953869 569 388
954353 552 332
954843 514 535
955168 555 345
955795 379 376
956001 382 507
956612 573 535
956906 708 541
957452 719 577
957745 771 560
957937 819 546
958300 994 452
960070 914 329
960737 986 331
960956 947 395
961360 957 514
961580 956 485
961875 941 551
962617 971 650
962800 967 681
963209 921 634
964522 885 698
965058 926 692
965550 975 706
966208 913 697
966822 876 701
967101 915 709
968004 528 685
968356 563 694
968612 437 506
968838 437 407
969078 552 372
969250 547 324
969992 533 404
970251 490 348
970503 191 364
970684 171 400
971043 541 419
971401 556 350
971755 507 536
972006 395 513
972638 418 567
972998 379 530
973210 442 574
973540 395 565
973790 443 594
974080 374 373
976856 206 418
977273 195 529
977796 426 380
978080 566 363
978327 387 369
979101 543 412
979321 557 334
979733 521 539
980259 542 331
981032 503 543
981676 555 370
982025 544 340
982314 499 556
983302 547 359
983524 187 380
983779 169 419
984387 526 354
984707 548 333
984960 504 550
985566 538 328
988628 507 546
989680 186 383
990448 378 502
990860 194 520
991085 379 501
993062 513 533
993349 380 509
993699 497 540
994753 381 506
998172 383 378
1000843 558 341
1001322 511 536
1001709 385 379
1004370 384 511
1005203 384 381
1006449 567 351
1006799 509 554
1007117 405 408
1007308 380 383
1008136 379 515
1008681 381 377
1010020 559 342
1010438 514 528
1010817 380 516
1011233 383 372
1012859 374 516
1013560 376 377
1014517 565 328
1015060 383 377
1016846 389 479
1017037 383 508
1017453 389 386
1018090 561 344
1018632 511 550
1018888 386 507
1019846 383 369
1020386 375 504
1021281 380 373
1022140 557 334
1022716 504 533
1023129 387 493
1023607 386 360
1025108 379 496
1027500 381 367
1027977 550 332
1028487 511 521
1028776 379 495
1030115 380 366
1030879 561 343
1031264 510 528
1031581 402 511
1031806 376 488
1033684 504 529
1034359 555 336
1035101 504 527
1035427 380 510
1036746 383 372
1037225 193 377
1037544 182 401
1037799 544 334
1038725 506 535
1039522 380 499
1044848 501 510
1045203 563 334
1046092 388 367
1046762 385 476
1047559 517 511
1047974 559 343
1048835 75 371
1049314 203 374
1049575 174 391
1050448 519 353
1050698 548 325
1051878 505 541
1052134 376 501
1053027 386 359
1053281 546 340
1053792 508 522
1057634 388 504
1058602 502 542
1059011 547 330
1059990 379 340
1060243 558 325
1061147 539 320
1061563 525 525
1061925 373 514
1062692 219 395
1062920 164 413
1063968 376 375
1064606 381 508
1065249 394 343
1065542 572 338
1066272 792 342
1066491 941 403
1067166 581 346
1067369 549 330
1067719 542 476
1067984 556 330
1068449 199 359
1068704 67 391
1069313 544 344
1069809 517 528
1070208 382 504
1070973 505 535
1071196 558 339
1072230 546 398
1072756 539 326
1073540 463 504
1073735 494 549
1074183 375 514
1074661 208 405
1074889 160 417
1075146 547 335
1075724 499 544
1076481 373 496
1077041 518 357
1077271 546 323
1078228 313 373
1078418 212 356
1078706 382 399
1078928 378 500
1079859 143 397
1080050 71 384
1080337 174 390
1081044 538 483
1081465 557 329
1083717 535 351
1084005 507 523
1084494 554 328
1085936 395 525
1086143 380 495
1086813 506 534
1088473 507 539
1091340 551 362
1091535 559 329
1091983 505 535
1092530 384 498
1093295 504 521
1094882 377 478
1095366 208 378
1095557 162 391
1095940 556 374
1096232 571 324
1096519 505 529
1098657 388 499
1099550 516 526
1102861 387 497
1103505 219 379
1103697 159 393
1104015 69 374
1105640 65 331
1105895 67 379
1107203 487 384
1107460 552 346
1108095 487 533
1108447 373 508
1108895 492 541
1109762 547 328
1111833 500 547
1112313 371 500
1113078 372 369
1114945 352 338
1115167 185 362
1115486 198 390
1115742 75 328
1116221 553 336
1116859 511 537
1118134 559 328
1118484 504 539
1119160 555 349
1119766 498 534
1120946 406 517
1121171 375 498
1121871 497 517
1122190 562 332
1122987 510 529
1124456 387 494
1125098 560 360
1125324 564 321
1126285 385 483
1126699 238 388
1126923 435 473
1127311 508 534
1136314 500 543
1137319 495 560
1138025 439 541
1138250 496 553
1139992 553 352
1140286 496 550
1140955 380 504
1141783 497 532
1145331 562 363
1145561 566 327
1146133 513 529
1146707 382 491
1147186 511 519
1151689 414 518
1151946 381 487
1152423 510 510
1155134 574 395
1155325 569 347
1155872 505 504
1157426 507 528
1159134 406 521
1159355 379 509
1159994 502 535
1163375 560 369
1163599 572 324
1163918 226 346
1164173 190 369
1164556 502 540
1166310 381 365
1166948 512 537
1169276 414 374
1169531 381 369
1169819 388 493
1170457 511 532
1172985 559 345
1173622 508 526
1174100 385 494
1174515 196 372
1174803 148 386
1175153 32 377
1175376 52 344
1175925 504 526
1177485 233 336
1177921 415 336
1181988 479 351
1182258 348 381
1182526 546 331
1182856 3 762
1184335 395 378
1184592 562 334
1189346 399 516
1189647 524 547
1189945 565 355
1190737 511 564
1191063 561 347
1191704 368 501
1192165 468 327
1192415 567 344
1193528 411 437
1193715 386 514
1194877 380 394
1195579 568 343
1196057 512 549
1196447 382 520
1198215 507 546
1198643 573 341
1199213 391 522
1202620 390 392
1203328 519 547
1203647 568 365
1203934 392 430
1204126 386 522
1204351 422 522
1204830 443 579
1205051 524 544
1205525 415 585
1205748 442 582
1205971 376 519
1206295 512 535
1206776 403 531
1209084 401 531
1209400 436 537
1209747 442 573
1211781 426 563
1212116 446 581
1212452 527 564
1213012 444 562
1213224 393 525
1213521 542 507
1213708 522 550
1214671 398 528
1215920 382 405
1216481 400 551
1216676 390 525
1217125 512 568
1217507 559 400
1217809 580 339
1218128 511 566
1218772 393 516
1219722 386 393
1221045 388 533
1221345 522 568
1221944 394 522
1223052 385 388
1223310 523 577
1223978 402 523
1224655 522 602
1225076 411 367
1225334 386 387
1225909 532 589
1226889 398 527
1227631 388 392
1228499 401 524
1229619 446 566
1230130 551 606
1231091 404 393
1231637 559 355
1232087 559 605
1232573 401 538
1233021 387 509
1233594 384 385
1234206 379 338
1234876 383 387
1235750 561 603
1236234 427 522
1236488 388 517
1237220 384 551
1237700 532 600
1238019 397 532
1238343 386 390
1239743 521 370
1240124 525 583
1241020 381 546
1241497 381 393
1243314 386 543
1243569 424 574
1244050 531 577
1244753 394 383
1246496 418 586
1246802 394 392
1248112 522 390
1248301 537 588
1248684 385 396
1249504 544 614
1250006 378 396
1250885 405 549
1251206 382 384
1251745 418 553
1252199 547 596
1252652 395 384
1254984 422 473
1255210 386 398
1255604 394 535
1255828 386 574
1256024 531 591
1256804 389 396
1257470 382 542
1257694 543 412
1257950 380 553
1258397 389 399
1258746 540 588
1259226 382 509
1259833 396 563
1260310 384 383
1261109 383 324
1261622 387 394
1262159 559 416
1262448 552 449
1262703 562 597
1262957 579 415
1263216 598 400
1263706 554 430
1264620 390 521
1265195 548 596
1265704 405 523
1265928 375 513
1266246 386 389
1267343 412 534
1267870 552 568
1268125 555 599
1268444 550 398
1268802 399 379
1269159 584 422
1269554 562 571
1269909 397 423
1270100 383 393
1271976 160 401
1272643 352 388
1272962 163 390
1273485 378 390
1274262 401 533
1277702 539 552
1277874 509 567
1278767 581 399
1279098 483 561
1279486 370 479
1279902 214 401
1280091 157 399
1280545 381 388
1281430 411 535
1281912 389 385
1282364 594 395
1282844 510 553
1283482 394 538
1283800 379 515
1284021 376 391
1285111 400 533
1285714 515 570
1286063 579 393
1286351 382 391
1286860 200 404
1287164 157 406
1287585 380 396
1288224 399 572
1288449 397 535
1288768 593 587
1291291 393 532
1291985 378 391
1292577 581 342
1292927 588 559
1293158 616 576
1293781 539 386
1294197 189 404
1294543 150 411
1296462 381 526
1296962 397 420
1297224 545 553
1297626 369 398
1298302 363 543
1298524 375 516
1298907 542 371
1299391 554 427
1299859 397 525
1301485 344 405
1301676 384 393
1302090 530 373
1302314 556 566
1302601 554 602
1303215 220 429
1303427 157 402
1304898 372 390
1305969 386 523
1306777 382 386
1307198 529 551
1307393 552 578
1307682 555 416
1307975 531 403
1308295 574 431
1308614 333 407
1308804 363 393
1309186 193 399
1309423 160 408
1309783 353 535
1310007 391 526
1310551 381 382
1311569 540 424
1311857 564 426
1312814 537 435
1313037 502 542
1313373 393 519
